ID	role	entities
0	victim	people who are unscientific
0	villain	climate alarmists
2	victim	the U.S.
2	villain	climate alarmism; Democratic New York Rep. Alexandria Ocasio; Democratic New York Rep. Alexandria Ocasio-Cortez's
3	victim	a city built on a swamp
3	villain	climate alarmism; Alexandria Ocasio-Cortez
4	hero	Watters
4	victim	U.S Economy; human progress
4	villain	O'Rourke
9	villain	climate change; Green New Deal
10	hero	Carbon neutrality
10	villain	fossil fuel consumption; news
11	hero	Mura; EU environmental subsidies
11	victim	the Amazon rainforest; Indigenous people of Brazil
11	villain	far-right President Jair Bolsonaro; President Jair Bolsonaro; Deforestation
12	victim	drinking water supplies; wildlife; individual states; the States
12	villain	President Trump
13	hero	Greta Thunberg a 16-year-old climate change activist
13	villain	fossil fuels
19	hero	The Federal Energy Regulatory Commission FERC
19	villain	two year partisan deadlock; a lack of export infrastructure
20	victim	the Earth
20	villain	carbon dioxide in atmosphere and ocean
21	victim	America
21	villain	Freshman Democrat Alexandria Ocasio-Cortez
25	hero	youth climate activists; least-developed states; People across the world; small-island states; the European Union
25	victim	disaster-hit countries
25	villain	Australia; Brazil; China; governments; India; Saudi Arabia; USA
28	hero	Thousands of European activists
30	victim	Environmental movement; law enforcement; businesses
30	villain	Extinction Rebellion
32	hero	Prime Minister Giuseppe Conte
32	victim	Venice
32	villain	the highest tide in 50 years; Global warming
39	villain	O'Rourke
40	hero	Sanders; the Green New Deal
43	hero	bipartisan; lawmakers
43	villain	the Green New Deal
44	hero	Climate activists
44	villain	man-made climate change; young students
46	victim	downtown Manhattan community; waterfront neighbourhoods; New York City
46	villain	Bill de Blasio; New York City Mayor Bill de Blasio
49	victim	Global climate response
49	villain	President Trump
50	victim	Antarctica's ice shelves; the Earth
50	villain	Antarctic sea-ice; rivers of warm ocean water; the ocean
51	villain	climate alarmists
52	villain	the environmental left
53	hero	Green New Deal
53	victim	economy
53	villain	New York Democratic Rep. Alexandria Ocasio-Cortez
57	hero	The United Nations; Nuclear
