ID	entity	role
0	climate alarmists	villain
0	people who are unscientific	victim
2	climate alarmism	villain
2	Democratic New York Rep. Alexandria Ocasio	villain
2	Democratic New York Rep. Alexandria Ocasio-Cortez's	villain
2	the U.S.	victim
3	climate alarmism	villain
3	a city built on a swamp	victim
3	Alexandria Ocasio-Cortez	villain
4	O'Rourke	villain
4	U.S Economy	victim
4	Watters	hero
4	human progress	victim
9	climate change	villain
9	Green New Deal	villain
10	fossil fuel consumption	villain
10	Carbon neutrality	hero
10	news	villain
11	the Amazon rainforest	victim
11	Indigenous people of Brazil	victim
11	Mura	hero
11	far-right President Jair Bolsonaro	villain
11	President Jair Bolsonaro	villain
11	Deforestation	villain
11	EU environmental subsidies	hero
12	drinking water supplies	victim
12	wildlife	victim
12	individual states	victim
12	President Trump	villain
12	the States	victim
13	Greta Thunberg a 16-year-old climate change activist	hero
13	fossil fuels	villain
19	The Federal Energy Regulatory Commission FERC	hero
19	two year partisan deadlock	villain
19	a lack of export infrastructure	villain
20	the Earth	victim
20	carbon dioxide in atmosphere and ocean	villain
21	America	victim
21	Freshman Democrat Alexandria Ocasio-Cortez	villain
25	youth climate activists	hero
25	disaster-hit countries	victim
25	least-developed states	hero
25	People across the world	hero
25	small-island states	hero
25	Australia	villain
25	Brazil	villain
25	China	villain
25	governments	villain
25	India	villain
25	Saudi Arabia	villain
25	the European Union	hero
25	USA	villain
28	Thousands of European activists	hero
30	Environmental movement	victim
30	Extinction Rebellion	villain
30	law enforcement	victim
30	businesses	victim
32	the highest tide in 50 years	villain
32	Global warming	villain
32	Prime Minister Giuseppe Conte	hero
32	Venice	victim
39	O'Rourke	villain
40	Sanders	hero
40	the Green New Deal	hero
43	bipartisan	hero
43	the Green New Deal	villain
43	lawmakers	hero
44	man-made climate change	villain
44	Climate activists	hero
44	young students	villain
46	downtown Manhattan community	victim
46	waterfront neighbourhoods	victim
46	Bill de Blasio	villain
46	New York City	victim
46	New York City Mayor Bill de Blasio	villain
49	President Trump	villain
49	Global climate response	victim
50	Antarctic sea-ice	villain
50	Antarctica's ice shelves	victim
50	rivers of warm ocean water	villain
50	the Earth	victim
50	the ocean	villain
51	climate alarmists	villain
52	the environmental left	villain
53	New York Democratic Rep. Alexandria Ocasio-Cortez	villain
53	economy	victim
53	Green New Deal	hero
57	the planet	victim
57	climate alarmists	villain
57	climate-change warriors	villain
57	The United Nations	hero
57	Nuclear	hero
57	climate response	victim
59	Cortez	villain
59	Democratic Party	victim
59	The Green New Deal	villain
60	people health	victim
60	happiness	victim
60	health	victim
60	air pollution	villain
60	pollution	villain
64	Greta Thunberg	villain
69	green/environmental groups	victim
69	the nation's most populous state	victim
69	hydraulic fracturing	villain
70	public health	victim
70	Cortez	villain
70	Livestock methane emissions	villain
70	Green New Deal	hero
72	public health	victim
72	farmers	victim
72	Methane	villain
72	Methane emissions from livestock	villain
72	Green new deal	hero
73	Ecosystems	victim
73	environment	victim
73	human health	victim
74	AOC	villain
74	climatologist Judith Curry	hero
74	meteorologist Ryan Maue	hero
75	Americans	victim
75	minority communities	victim
75	Incoming New York Rep. Alexandria Ocasio-Cortez	villain
75	her plan for a Green New Deal	hero
76	Tha planet	victim
76	some ordinary Americans	hero
76	Carbon emissions	villain
76	consumption excessive society	villain
76	climate action	hero
77	Perpetual presidential candidate Bernie Sanders	villain
77	farmers	victim
78	Livestock production	villain
78	meat and dairy products	villain
78	Lab-grown meat	hero
78	The Israeli food technology startup Aleph Farms	hero
81	Communities of colour in America	victim
81	poor communities of color	victim
81	Cory Booker	hero
81	Carbon	villain
81	Nuclear Energy	hero
84	21 young plaintiffs	victim
84	the federal government	villain
84	a major climate change lawsuit	hero
86	the U.S.	victim
86	Congressional Democrats	hero
86	Congressional Republicans	villain
86	carbon emissions	villain
86	the Green New Deal	hero
87	Floridians	victim
87	the state's first chief science officer	hero
87	Thomas Frazer	hero
89	The public/voters	victim
89	the Democratic presidential contenders	hero
90	Democrat Presidential Candidates	hero
90	Warren	hero
90	fossil fuel emissions	villain
91	Activists	villain
91	fossil fuel industry	villain
91	renewable energy	hero
92	the air	victim
92	Americans	victim
92	the EPA	hero
92	Trump	villain
93	Rural voters	victim
93	The people	victim
93	Trump	villain
93	farmers	victim
94	the Environmental Protection Agency	victim
94	the EPA	hero
94	Trump	villain
94	Climate policy	hero
94	climate technology	hero
94	Green technology	hero
95	Trump	villain
95	fossil fuels	villain
95	Green New Deal	hero
96	Detroiters	victim
96	auto industry	villain
96	Industrial polluters	villain
96	industry	villain
